iter	RMSE
0	0.007513990498
1	0.007253067743
2	0.006994467276
3	0.006799048849
4	0.006567862204
5	0.006388133838
6	0.006197029385
7	0.00602500194
8	0.005886296922
9	0.005744608739
10	0.005603929507
11	0.005478555335
12	0.0053666111
13	0.005241495302
14	0.005125621504
15	0.005024767843
16	0.004923060575
17	0.004822395432
18	0.004737895578
19	0.004669852925
20	0.004593305115
21	0.004520472583
22	0.004464600551
23	0.004402805509
24	0.004339271374
25	0.004277030509
26	0.00423563612
27	0.004173070518
28	0.004141013509
29	0.00407802373
30	0.004031967361
31	0.003993771754
32	0.003957386239
33	0.003916924675
34	0.003874348996
35	0.003833563457
36	0.003796548612
37	0.003758628351
38	0.003732222687
39	0.003699560195
40	0.003671829428
41	0.00365176007
42	0.003624922037
43	0.003605807166
44	0.003584807137
45	0.00355939801
46	0.003539095489
47	0.003516353248
48	0.00350042063
49	0.003485969977
50	0.003464444356
51	0.003449142591
52	0.003426394456
53	0.003402663033
54	0.00338197648
55	0.00335935771
56	0.00334054253
57	0.003325969019
58	0.003311360314
59	0.003296245635
60	0.003280802798
61	0.003266300518
62	0.003250825546
63	0.00323828018
64	0.003219885605
65	0.003201542718
66	0.003186508882
67	0.003161660593
68	0.003146169213
69	0.003130229132
70	0.003115276931
71	0.003099721388
72	0.003088320533
73	0.003072646223
74	0.003062127261
75	0.003049234961
76	0.003038603266
77	0.003021953928
78	0.003014315624
79	0.002997738127
80	0.002985762819
81	0.002971336161
82	0.002958314516
83	0.002948523516
84	0.002935442251
85	0.002926979104
86	0.002917444701
87	0.002910078194
88	0.002902710888
89	0.002890315097
90	0.002875903704
91	0.002864367363
92	0.002848592634
93	0.002837730256
94	0.002827769334
95	0.002817970409
96	0.002808630489
97	0.002794510345
98	0.002783608581
99	0.002769207618
100	0.002759153056
101	0.002749797616
102	0.00273666403
103	0.002724091591
104	0.002713991386
105	0.002704869825
106	0.002690412755
107	0.00268286814
108	0.002665737188
109	0.002657007085
110	0.002646145427
111	0.002632957783
112	0.002626099607
113	0.002614394482
114	0.002606273321
115	0.002595635686
116	0.002587985901
117	0.002576180892
118	0.002566190021
119	0.002556233245
120	0.002547990199
121	0.002536022537
122	0.002525312998
123	0.002511767084
124	0.002500412365
125	0.002489065353
126	0.002479196893
127	0.002467028559
128	0.002450352925
129	0.002441990837
130	0.002429751937
131	0.002422167201
132	0.002416521838
133	0.002406462126
134	0.002396894873
135	0.002389953543
136	0.002381564477
137	0.00237391498
138	0.002361970372
139	0.002349629818
140	0.002340085769
141	0.002327433318
142	0.002319284587
143	0.002310711929
144	0.002298914599
145	0.002285433075
146	0.002273226793
147	0.002266917496
148	0.002257486031
149	0.002250461909
150	0.002240919959
151	0.002232454882
152	0.002222614976
153	0.002213479289
154	0.002208516209
155	0.002202374355
156	0.002194180338
157	0.002186662468
158	0.002178581661
159	0.002167980429
160	0.002160873152
161	0.00215179902
162	0.002141773318
163	0.00213363432
164	0.002125828813
165	0.002119133164
166	0.002107935178
167	0.002099493739
168	0.002092769672
169	0.002082979751
170	0.002073307078
171	0.002066429735
172	0.002060743773
173	0.002050420507
174	0.002044125833
175	0.002038188009
176	0.002030585311
177	0.002021495182
178	0.002012842032
179	0.002006782588
180	0.002000686275
181	0.001989086796
182	0.001982093283
183	0.00197175404
184	0.001962785404
185	0.001954838817
186	0.001949288503
187	0.001940220974
188	0.001934525318
189	0.00192968453
190	0.001921990789
191	0.001913490768
192	0.001903516162
193	0.0018960921
194	0.001889953802
195	0.001881727264
196	0.001876421171
197	0.001869785127
198	0.001864530419
199	0.00185665556
200	0.001851435477
201	0.001841822718
202	0.001834487199
203	0.001828490096
204	0.001820818252
205	0.001814879295
206	0.001807311839
207	0.001800072729
208	0.001792923227
209	0.00178865753
210	0.001780386365
211	0.00177408675
212	0.001768749028
213	0.001762297469
214	0.001759298032
215	0.001752723261
216	0.001746135285
217	0.001741817322
218	0.001734790692
219	0.001729930059
220	0.001724534875
221	0.001720373894
222	0.001715124532
223	0.001709367817
224	0.001703785666
225	0.001696151748
226	0.001692923619
227	0.001687986073
228	0.001684357618
229	0.001678748517
230	0.001671177824
231	0.001667097112
232	0.001662793065
233	0.001657770829
234	0.001651968866
235	0.001646718075
236	0.001641238062
237	0.00163585885
238	0.001631155294
239	0.001625335576
240	0.001617930545
241	0.001612204159
242	0.001607048633
243	0.001602409499
244	0.001597259926
245	0.00159212027
246	0.001586974632
247	0.001582596004
248	0.001577419127
249	0.001571812923
250	0.00156592007
251	0.001561553551
252	0.00155792613
